# Ep lEiso
1.030 -13.782
1.065 -13.364
1.262 -13.418
1.380 -12.735
1.442 -13.546
1.585 -13.513
1.673 -12.227
1.752 -13.482
1.900 -13.936
1.908 -14.276
2.057 -13.426
2.315 -13.812
2.411 -13.865
2.608 -13.168
2.799 -13.703
2.878 -13.709
3.287 -13.346
3.376 -13.654
3.590 -14.751
3.647 -13.939
3.800 -13.787
3.826 -13.540
3.925 -13.865
4.088 -14.116
4.225 -13.546
4.431 -13.989
4.439 -13.794
4.569 -13.547
4.678 -13.572
4.760 -13.773
5.808 -13.543
5.862 -15.240
5.953 -13.995
6.303 -14.350
6.722 -13.527
6.766 -13.718
7.278 -13.693
7.586 -14.309
7.627 -14.870
8.191 -13.603
8.441 -14.106
8.643 -13.818
9.005 -14.987
9.070 -15.115
9.168 -13.970
9.414 -14.496
9.996 -13.851
10.968 -14.098
11.055 -13.359
11.120 -14.773
11.217 -13.468
11.400 -15.643
11.853 -14.257
12.037 -14.305
12.587 -13.568
12.663 -14.471
12.904 -14.680
14.445 -14.241
14.788 -14.518
15.901 -14.180
15.904 -14.063
16.508 -15.232
16.976 -15.120
17.760 -14.546
17.808 -14.720
18.390 -14.922
18.739 -13.596
19.811 -14.724
19.915 -14.812
20.288 -13.785
20.841 -15.296
20.846 -15.321
20.980 -13.823
21.223 -14.618
21.649 -15.798
21.933 -14.503
22.104 -14.619
22.839 -14.680
23.378 -14.343
23.402 -14.217
23.746 -14.765
23.861 -14.639
24.003 -14.841
24.299 -14.382
24.653 -14.536
24.809 -14.654
24.951 -14.890
25.724 -14.087
25.820 -14.808
25.959 -14.776
26.101 -14.616
26.441 -14.303
26.467 -14.324
26.508 -14.853
27.032 -14.878
27.166 -14.299
27.535 -14.702
28.349 -14.641
28.627 -14.835
28.639 -14.412
28.911 -14.936
28.938 -15.462
28.969 -14.619
29.012 -14.718
29.115 -13.767
29.266 -14.455
29.304 -14.628
29.625 -14.095
29.947 -14.259
30.050 -14.744
30.216 -14.694
30.234 -14.326
30.417 -14.554
30.652 -14.874
30.678 -14.421
30.832 -14.242
31.009 -14.857
32.582 -15.190
32.605 -14.531
32.808 -14.091
33.067 -15.125
33.133 -14.238
33.189 -14.340
33.431 -14.413
33.561 -14.522
33.637 -14.854
34.319 -14.404
34.391 -14.236
34.579 -13.732
34.867 -14.861
35.008 -14.464
35.354 -15.420
35.491 -14.676
35.745 -14.499
35.780 -14.430
36.312 -14.830
36.381 -14.854
36.894 -14.623
36.924 -15.276
37.230 -14.396
37.444 -13.914
37.498 -14.499
37.549 -14.129
38.045 -14.153
38.108 -13.863
38.182 -15.136
38.764 -14.731
38.834 -14.596
39.682 -14.791
39.721 -14.227
39.725 -14.893
40.545 -14.454
40.709 -14.543
40.983 -15.193
41.287 -14.712
41.727 -14.675
41.876 -14.640
41.911 -14.750
42.394 -14.771
42.533 -14.529
42.622 -14.569
42.849 -14.482
42.867 -13.954
43.053 -14.346
43.153 -14.328
43.585 -14.566
43.900 -14.198
44.820 -14.187
44.911 -14.441
45.094 -14.405
45.206 -14.323
45.441 -14.679
45.456 -14.968
45.999 -15.228
46.144 -14.628
46.211 -14.273
46.396 -13.508
46.418 -14.649
46.594 -14.332
46.679 -15.954
46.872 -14.247
47.248 -14.548
47.321 -15.014
47.425 -14.767
47.441 -14.012
47.998 -14.699
48.407 -13.891
48.574 -14.174
48.626 -14.903
48.937 -14.807
49.062 -14.122
49.192 -14.371
49.196 -14.475
49.356 -14.346
49.855 -13.830
50.135 -14.742
50.407 -13.742
50.555 -14.888
50.656 -14.863
50.728 -14.147
50.788 -14.369
50.885 -13.409
51.405 -14.227
51.553 -14.523
51.857 -14.752
51.931 -14.311
51.960 -14.443
52.122 -14.360
52.304 -14.795
52.428 -13.887
52.636 -14.230
52.707 -14.562
52.829 -13.987
53.398 -14.517
53.770 -14.916
53.857 -14.849
53.873 -14.292
53.972 -14.669
54.162 -14.619
54.239 -13.877
54.676 -14.739
56.088 -15.073
56.133 -13.775
56.208 -14.958
56.221 -14.248
56.651 -14.023
56.831 -14.411
56.950 -14.462
56.953 -14.940
57.068 -13.905
57.726 -14.330
57.759 -15.192
57.869 -13.943
58.726 -14.945
59.113 -14.527
59.393 -13.651
60.169 -14.071
60.691 -13.653
60.749 -14.117
61.225 -14.342
61.292 -14.555
61.666 -14.394
61.711 -13.507
61.920 -14.732
61.992 -15.270
61.998 -14.314
62.380 -14.171
62.660 -14.158
63.465 -14.136
63.477 -14.239
63.832 -14.546
64.099 -14.647
64.121 -15.555
64.765 -14.645
64.769 -14.166
64.774 -13.822
64.907 -14.184
64.965 -13.555
65.218 -14.632
65.424 -14.079
65.501 -14.369
65.517 -14.702
65.692 -14.295
66.521 -14.281
67.634 -14.412
67.645 -14.904
67.832 -14.848
68.472 -14.576
68.603 -14.124
68.682 -14.157
68.757 -14.331
69.029 -14.116
69.305 -14.554
69.332 -14.229
69.379 -13.984
69.449 -14.203
69.916 -14.358
70.137 -14.360
70.433 -14.765
70.505 -14.086
70.523 -14.392
70.595 -14.856
70.724 -14.618
70.945 -14.412
71.203 -14.449
71.336 -13.334
71.574 -14.179
71.652 -14.360
72.338 -14.342
72.353 -14.302
72.658 -14.700
72.665 -14.712
73.365 -14.003
74.183 -14.415
74.421 -14.049
74.839 -14.476
75.503 -14.665
75.737 -14.654
76.821 -14.992
77.275 -14.538
77.370 -14.436
77.405 -14.236
77.702 -13.904
78.008 -14.303
78.078 -14.344
78.387 -13.935
78.500 -14.873
79.043 -13.528
79.068 -14.682
79.091 -14.107
79.469 -14.461
79.684 -14.339
79.781 -14.282
79.964 -14.423
80.209 -14.776
80.482 -14.593
80.682 -14.313
81.051 -14.551
81.068 -14.829
81.110 -13.795
82.489 -14.041
82.776 -13.798
83.829 -14.054
83.861 -14.238
84.284 -15.331
84.484 -14.234
85.169 -14.058
85.348 -14.563
85.543 -14.250
85.638 -15.042
85.653 -13.913
85.665 -14.429
85.826 -14.731
85.957 -14.111
86.031 -15.135
86.270 -14.099
87.105 -14.502
87.882 -13.673
88.082 -14.554
88.585 -14.005
88.952 -14.157
89.555 -14.147
89.564 -13.488
89.934 -14.438
90.187 -14.644
90.554 -14.212
90.898 -14.739
90.911 -14.083
91.059 -14.835
91.440 -13.975
